Date,Sales
11/05/2020,11090
11/06/2020,11090
11/07/2020,11090
11/08/2020,11090
11/09/2020,11090
11/10/2020,11090
11/11/2020,11090
11/12/2020,11090
11/13/2020,11090
11/14/2020,11090
11/15/2020,11090
11/16/2020,11090
11/17/2020,11090
11/18/2020,11090
11/19/2020,11090
11/20/2020,11090
11/21/2020,11090
11/22/2020,11090
11/23/2020,11090
11/24/2020,11090
11/25/2020,11090
11/26/2020,11090
11/27/2020,11090
11/28/2020,11090
11/29/2020,11090
11/30/2020,11090
12/01/2020,12370
12/02/2020,12370
12/03/2020,12370
12/04/2020,12370
12/05/2020,12370
12/06/2020,12370
12/07/2020,12370
12/08/2020,12370
12/09/2020,12370
12/10/2020,12370
12/11/2020,12370
12/12/2020,12370
12/13/2020,12370
12/14/2020,12370
12/15/2020,12370
12/16/2020,12370
12/17/2020,12370
12/18/2020,12370
12/19/2020,12370
12/20/2020,12370
12/21/2020,12370
12/22/2020,12370
12/23/2020,12370
12/24/2020,12370
12/25/2020,12370
12/26/2020,12370
12/27/2020,12370
12/28/2020,12370
12/29/2020,12370
12/30/2020,12370
12/31/2020,12370
